Day2(午前),A1-1,雪だるま1,「それっすよリーダー！でっかい夢があった方が燃えるっす！」,,,,,,,,Day2(午前),B1-1,雪だるま1,「よっしゃ！強み合わせて最強ってやつっすね！！」,,,,,,,,Day2(午前),C1-1,雪だるま1,「おおっ！リスク承知で攻めるんすね！？ついていきますよリーダー！！」
Day2(午前),A1-1,雪だるま2,「うん…みんなで同じ方向を見られるって、すごく良いと思う…！」,,,,,,,,Day2(午前),B1-1,雪だるま2,「みんなの良いところを活かせるなんて…素敵だね…！」,,,,,,,,Day2(午前),C1-1,雪だるま2,「慎重派だけど…あなたが言うなら、挑戦も悪くないかも…。」
Day2(午前),A1-1,先輩サンタ,「大胆ですが方向性は理解できます。…実現性の検証は必要ですね。」,,,,,,,,Day2(午前),B1-1,トナカイ,「発想拡張は良い判断です。方向性の整理は必要ですが…賛成です。」,,,,,,,,Day2(午前),C1-1,トナカイ,「方針変更…合理的ではないが、あなたの覚悟があるなら従います。」
Day2(午前),A1-1,トナカイ,「良いじゃないか。その“理想”が、チームを動かすんだよ。」,,,,,,,,Day2(午前),B1-1,先輩サンタ,「うん…“掛け合わせ”は創造の源だよ。いい視点だ。」,,,,,,,,Day2(午前),C1-1,先輩サンタ,「うん、その“腹を括る力”。リーダーとして大事だよ。」
,,,,,,,,,,,,,,,,,,,,,,,,,
Day2 (午後),A1-2,雪だるま1,「お、俺の得意っすか！？爆発系は任せてください！」,,,,,,,,Day2 (午後),B1-2,雪だるま1,「なるほど…まとめるんすね！じゃあ俺も正直に言うっす！」,,,,,,,,Day2 (午後),C1-2,雪だるま1,「みんなでやれば怖くないっすよね！がんばるっす！」
Day2 (午後),A1-2,雪だるま2,「あ、あの…わたし、細かい作業とか好きかも…！」,,,,,,,,Day2 (午後),B1-2,雪だるま2,「うれしい…みんなの意見を尊重してくれるの、すごく安心できる…」,,,,,,,,Day2 (午後),C1-2,雪だるま2,「うれしい…“一緒に”って言ってくれると安心する…。」
Day2 (午後),A1-2,トナカイ,「合理的ですね。強みを活かす配置は効率向上にも繋がります。」,,,,,,,,Day2 (午後),B1-2,トナカイ,「合理的です。状況を整理すれば最適解が導けるでしょう。」,,,,,,,,Day2 (午後),C1-2,トナカイ,「協力体制の強化は良い判断です。効率も上がるでしょう。」
Day2 (午後),A1-2,先輩サンタ,「いいねぇ。まず“人”を見るのは立派なリーダーだよ。」,,,,,,,,Day2 (午後),B1-2,先輩サンタ,「“違いを武器にする”。それが良い場をつくるんだよ。」,,,,,,,,Day2 (午後),C1-2,先輩サンタ,「支え合う力を大事にする…あたたかいリーダーだね。」
,,,,,,,,,,,,,,,,,,,,,,,,,
